Fimathe Raiz - Exness - 01/05/2026 a 11/09/2026 - Rompimento vela + pullback - COM VIRADA - COLUNAS EM BRT
DATA;XAU H1M1 03H;XAU H1M1 09H;XAU H1M5 05H;XAU H1M5 19H;USTEC H1M1 09H
01/05/2026;Take;Take;Take;;Stop
03/05/2026;;;;Stop;
04/05/2026;Take;Take;Stop;Stop;Stop
05/05/2026;Stop;Stop;Stop;Take;Take
06/05/2026;Stop;Virada;Take;Stop;Take
07/05/2026;Take;Stop;Stop;Stop;Take
08/05/2026;Stop;Virada;Stop;;Virada
10/05/2026;;;;Stop;
11/05/2026;Take;Virada;Stop;Take;Virada
12/05/2026;Take;Stop;Stop;Take;Stop
13/05/2026;Stop;Take;Stop;Stop;Take
14/05/2026;Stop;Stop;Stop;Take;Virada
15/05/2026;Take;Stop;Stop;;Take
17/05/2026;;;;Take;
18/05/2026;Take;Stop;Stop;Virada;Take
19/05/2026;Stop;Virada;Take;Take;Stop
20/05/2026;Stop;Stop;Stop;Stop;Stop
21/05/2026;Stop;Stop;Stop;Take;Stop
22/05/2026;Virada;Take;Stop;;Stop
24/05/2026;;;;Virada;
25/05/2026;Take;Stop;Virada;Stop;Stop
26/05/2026;Stop;Stop;Stop;Stop;Stop
27/05/2026;Take;Stop;Take;Take;Stop
28/05/2026;Stop;Stop;Stop;Take;Take
29/05/2026;Stop;Stop;Stop;;Virada
31/05/2026;;;;Take;
01/06/2026;Take;Stop;Stop;Stop;Stop
02/06/2026;Take;Stop;Take;Take;Stop
03/06/2026;Stop;Stop;Stop;Take;Take
04/06/2026;Stop;Stop;Stop;Take;Stop
05/06/2026;Virada;Stop;Stop;;Stop
07/06/2026;;;;Stop;
08/06/2026;Stop;Stop;Stop;Stop;Take
09/06/2026;Take;Stop;Virada;Take;Stop
10/06/2026;Virada;Virada;Take;Take;Stop
11/06/2026;Virada;Stop;Take;Virada;Take
12/06/2026;Stop;Virada;Stop;;Take
14/06/2026;;;;Stop;
15/06/2026;Stop;Stop;Take;Take;Stop
16/06/2026;Take;Stop;Virada;Stop;Take
17/06/2026;Stop;Stop;Take;Stop;Take
18/06/2026;Take;Take;Take;Take;Take
19/06/2026;Stop;Stop;Stop;;Take
21/06/2026;;;;Stop;
22/06/2026;Take;Stop;Take;Stop;Take
23/06/2026;Stop;Take;Take;Take;
24/06/2026;Take;Take;Stop;Stop;Stop
25/06/2026;Stop;Stop;Stop;Stop;Stop
26/06/2026;Stop;Stop;Take;;Virada
28/06/2026;;;;Take;
29/06/2026;Virada;Stop;Stop;Stop;Virada
30/06/2026;Take;Take;Stop;Stop;Virada
01/07/2026;Stop;Virada;Take;Stop;Stop
02/07/2026;Stop;Stop;Stop;Stop;Take
03/07/2026;Stop;Stop;Stop;;Stop
05/07/2026;;;;Stop;
06/07/2026;Take;Take;Stop;Take;Stop
07/07/2026;Stop;Take;Stop;Virada;Virada
08/07/2026;Stop;Virada;Stop;Stop;Take
09/07/2026;Stop;Stop;Stop;Stop;Take
10/07/2026;Stop;Take;Stop;;Stop
12/07/2026;;;;Take;
13/07/2026;Stop;Stop;Take;Take;Stop
14/07/2026;Stop;Virada;Stop;Stop;Virada
15/07/2026;Stop;Stop;Take;Take;Take
16/07/2026;Stop;Take;Stop;Take;Virada
17/07/2026;Virada;Take;Stop;;Take
19/07/2026;;;;Virada;
20/07/2026;Stop;Virada;Stop;Stop;Stop
21/07/2026;Take;Stop;Take;Stop;Stop
22/07/2026;Take;Virada;Take;Stop;Stop
23/07/2026;Take;Take;Stop;Stop;Take
24/07/2026;Take;Stop;Take;;Stop
26/07/2026;;;;Stop;
27/07/2026;Stop;Take;Stop;Take;Stop
28/07/2026;Stop;Stop;Take;Stop;Stop
29/07/2026;Virada;Take;Take;Virada;Take
30/07/2026;Stop;Stop;Take;Stop;Take
31/07/2026;Take;Take;Take;;Virada
02/08/2026;;;;Take;
03/08/2026;Stop;Take;Stop;Stop;Stop
04/08/2026;Stop;Stop;Stop;Virada;Stop
05/08/2026;Stop;Take;Virada;Take;Stop
06/08/2026;Take;Stop;Stop;Stop;Take
07/08/2026;Take;Stop;Take;;Take
09/08/2026;;;;Stop;
10/08/2026;Stop;Stop;Take;Take;Take
11/08/2026;Stop;Take;Take;Stop;Stop
12/08/2026;Take;Virada;Take;Take;Take
13/08/2026;Take;Stop;Take;Stop;Stop
14/08/2026;Stop;Stop;Take;;Stop
16/08/2026;;;;Stop;
17/08/2026;Stop;Stop;Stop;Virada;Take
18/08/2026;Stop;Stop;Stop;Stop;Stop
19/08/2026;Take;Take;Take;Take;Take
20/08/2026;Take;Stop;Take;Stop;Virada
21/08/2026;Take;Take;Take;;Stop
23/08/2026;;;;Stop;
24/08/2026;Stop;Stop;Stop;Take;Take
25/08/2026;Virada;Stop;Stop;Take;Virada
26/08/2026;Take;Take;Stop;Virada;Stop
27/08/2026;Take;Take;Take;Take;Virada
28/08/2026;Take;Stop;Take;;Take
30/08/2026;;;;Stop;
31/08/2026;Stop;Stop;Stop;Stop;Stop
01/09/2026;Take;Stop;Take;Stop;Take
02/09/2026;Stop;Stop;Virada;Stop;Take
03/09/2026;Stop;Stop;Take;Stop;Stop
04/09/2026;Virada;Stop;Take;;Stop
06/09/2026;;;;Take;
07/09/2026;Take;Take;Stop;Take;Stop
08/09/2026;Take;Take;Stop;Stop;Take
09/09/2026;Stop;Take;Stop;Take;Virada
10/09/2026;Take;Stop;Take;Virada;Take
11/09/2026;Stop;Virada;Stop;;Take
