Linhas de Ouro - Normal - FTMO XAU - Top 5 melhores horarios - 01/05/2026 a 15/09/2026 - MT5 +6 convertido para BRT - M1/M5/M15 - M15 formado por 12 velas M5 - Virada mira nivel 4.8 - COM VIRADA - COLUNAS EM BRT
DATA;XAU H1M5 21H;XAU H1M1 12H;XAU H1M1 22H;XAU H1M15 14H;XAU H1M15 22H
01/05/2026;;Virada;;Take;
03/05/2026;Stop;;Take;;Take
04/05/2026;Take;Take;Take;Take;Take
05/05/2026;Take;Take;Take;Take;Take
06/05/2026;Take;Take;Take;Take;Stop
07/05/2026;Virada;Take;Stop;Stop;Virada
08/05/2026;;Stop;;Take;
10/05/2026;Virada;;Virada;;Stop
11/05/2026;Take;Virada;Take;Take;Take
12/05/2026;Take;Take;Take;Take;Stop
13/05/2026;Stop;Take;Stop;Stop;Take
14/05/2026;Take;Stop;Take;Take;Take
15/05/2026;;Stop;;Take;
17/05/2026;Virada;;Stop;;Stop
18/05/2026;Take;Stop;Take;Stop;Take
19/05/2026;Virada;Stop;Stop;Take;Stop
20/05/2026;Virada;Virada;Virada;Take;Stop
21/05/2026;Take;Stop;Stop;Take;Virada
22/05/2026;;Take;;Take;
24/05/2026;Stop;;Stop;;Take
25/05/2026;Take;Take;Take;Take;Take
26/05/2026;Take;Take;Take;Virada;Take
27/05/2026;Take;Take;Take;Take;Virada
28/05/2026;Take;Take;Take;Take;Stop
29/05/2026;;Virada;;Take;
31/05/2026;Take;;Take;;Take
01/06/2026;Stop;Take;Take;Stop;Stop
02/06/2026;Stop;Take;Take;Stop;Stop
03/06/2026;Take;Take;Take;Take;Stop
04/06/2026;Stop;Virada;Stop;Take;Take
05/06/2026;;Take;;Stop;
07/06/2026;Take;;Take;;Take
08/06/2026;Take;Stop;Take;Stop;Virada
09/06/2026;Take;Take;Stop;Take;Take
10/06/2026;Take;Take;Stop;Virada;Take
11/06/2026;Stop;Take;Take;Stop;Take
12/06/2026;;Take;;Take;
14/06/2026;Take;;Take;;Stop
15/06/2026;Take;Take;Stop;Virada;Take
16/06/2026;Take;Take;Virada;Virada;Stop
17/06/2026;Virada;Take;Take;Take;Take
18/06/2026;Take;Take;Take;Take;Take
19/06/2026;;Stop;;;
21/06/2026;Virada;;Take;;Take
22/06/2026;Take;Take;Take;Take;Take
23/06/2026;Take;Virada;Take;Take;Take
24/06/2026;Stop;Stop;Virada;Stop;Stop
25/06/2026;Virada;Stop;Take;Take;Virada
26/06/2026;;Virada;;Take;
28/06/2026;Stop;;Take;;Take
29/06/2026;Take;Virada;Take;Take;Take
30/06/2026;Take;Take;Take;Take;Take
01/07/2026;Take;Take;Take;Take;Take
02/07/2026;Take;Stop;Take;Take;Take
03/07/2026;;Virada;;;
05/07/2026;Virada;;Take;;Take
06/07/2026;Take;Take;Take;Take;Virada
07/07/2026;Take;Take;Stop;Take;Take
08/07/2026;Virada;Virada;Virada;Take;Take
09/07/2026;Stop;Take;Take;Take;Take
10/07/2026;;Virada;;Virada;
12/07/2026;Take;;Stop;;Take
13/07/2026;Take;Take;Take;Take;Take
14/07/2026;Virada;Virada;Take;Take;Take
15/07/2026;Take;Take;Take;Virada;Take
16/07/2026;Virada;Take;Take;Stop;Virada
17/07/2026;;Take;;Stop;
19/07/2026;Take;;Stop;;Take
20/07/2026;Take;Stop;Take;Take;Take
21/07/2026;Take;Take;Take;Take;Virada
22/07/2026;Take;Virada;Take;Take;Take
23/07/2026;Virada;Take;Virada;Virada;Virada
24/07/2026;;Take;;Virada;
26/07/2026;Take;;Take;;Take
27/07/2026;Take;Take;Take;Take;Virada
28/07/2026;Stop;Take;Take;Virada;Take
29/07/2026;Stop;Take;Take;Take;Stop
30/07/2026;Take;Take;Take;Take;Take
31/07/2026;;Virada;;Stop;
02/08/2026;Take;;Take;;Stop
03/08/2026;Take;Take;Take;Take;Take
04/08/2026;Take;Virada;Take;Virada;Take
05/08/2026;Stop;Virada;Stop;Take;Virada
06/08/2026;Virada;Take;Take;Take;Take
07/08/2026;;Stop;;Stop;
09/08/2026;Stop;;Stop;;Take
10/08/2026;Virada;Take;Virada;Take;Stop
11/08/2026;Take;Take;Take;Take;Stop
12/08/2026;Virada;Stop;Take;Take;Take
13/08/2026;Virada;Take;Virada;Virada;Take
14/08/2026;;Virada;;Take;
16/08/2026;Virada;;Stop;;Virada
17/08/2026;Take;Take;Take;Take;Virada
18/08/2026;Take;Take;Take;Virada;Take
19/08/2026;Take;Stop;Virada;Stop;Virada
20/08/2026;Take;Take;Take;Take;Take
21/08/2026;;Take;;Stop;
23/08/2026;Virada;;Take;;Stop
24/08/2026;Take;Take;Take;Stop;Take
25/08/2026;Stop;Take;Virada;Stop;Take
26/08/2026;Virada;Take;Virada;Take;Take
27/08/2026;Stop;Take;Virada;Take;Virada
28/08/2026;;Take;;Take;
30/08/2026;Take;;Stop;;Stop
31/08/2026;Take;Take;Take;Stop;Take
01/09/2026;Virada;Virada;Stop;Take;Take
02/09/2026;Take;Stop;Take;Take;Take
03/09/2026;Stop;Stop;Stop;Take;Take
04/09/2026;;Take;;Stop;
06/09/2026;Take;;Stop;;Stop
07/09/2026;Take;Stop;Stop;Take;Take
08/09/2026;Take;Take;Take;Stop;Virada
09/09/2026;Take;Take;Virada;Stop;Take
10/09/2026;Stop;Virada;Virada;Take;Stop
11/09/2026;;Stop;;Take;
13/09/2026;Take;;Take;;Aberto
14/09/2026;Take;Stop;Take;Take;Aberto
15/09/2026;;Take;;Aberto;
