Linhas de Ouro - Normal - Hantec - 01/05/2026 a 11/09/2026 - MT5 +6 convertido para BRT - Virada mira nivel 4.8 - COM VIRADA - COLUNAS EM BRT
DATA;XAU H1M1 00H;XAU H1M1 01H;XAU H1M1 02H;XAU H1M1 03H;XAU H1M1 04H;XAU H1M1 05H;XAU H1M1 06H;XAU H1M1 07H;XAU H1M1 08H;XAU H1M1 09H;XAU H1M1 10H;XAU H1M1 11H;XAU H1M1 12H;XAU H1M1 13H;XAU H1M1 14H;XAU H1M1 15H;XAU H1M1 16H;XAU H1M1 17H;XAU H1M1 18H;XAU H1M1 19H;XAU H1M1 20H;XAU H1M1 21H;XAU H1M1 22H;XAU H1M1 23H;XAU H1M5 00H;XAU H1M5 01H;XAU H1M5 02H;XAU H1M5 03H;XAU H1M5 04H;XAU H1M5 05H;XAU H1M5 06H;XAU H1M5 07H;XAU H1M5 08H;XAU H1M5 09H;XAU H1M5 10H;XAU H1M5 11H;XAU H1M5 12H;XAU H1M5 13H;XAU H1M5 14H;XAU H1M5 15H;XAU H1M5 16H;XAU H1M5 17H;XAU H1M5 18H;XAU H1M5 19H;XAU H1M5 20H;XAU H1M5 21H;XAU H1M5 22H;XAU H1M5 23H
01/05/2026;Take;Take;Take;Take;Take;Take;Stop;Take;Take;Take;Take;Stop;Virada;Virada;Take;Stop;Take;Take;;;;;;;Virada;Take;Take;Take;Take;Take;Stop;Take;Take;Take;Take;Take;Take;Take;Take;Take;Stop;Take;;;;;;
03/05/2026;;;;;;;;;;;;;;;;;;;;Take;Take;Stop;Stop;Take;;;;;;;;;;;;;;;;;;;;Take;Take;Stop;Take;Take
04/05/2026;Virada;Take;Virada;Take;Take;Take;Take;Stop;Stop;Take;Virada;Stop;Take;Stop;Stop;Stop;Virada;Stop;;Stop;Take;Take;Take;Take;Take;Take;Take;Take;Take;Take;Take;Take;Stop;Take;Take;Stop;Virada;Take;Take;Take;Take;Take;;Take;Stop;Take;Take;Stop
05/05/2026;Stop;Stop;Take;Stop;Stop;Take;Virada;Take;Take;Stop;Virada;Stop;Take;Take;Stop;Stop;Take;Virada;;Take;Take;Take;Take;Take;Stop;Take;Take;Take;Take;Take;Virada;Virada;Take;Stop;Take;Virada;Take;Virada;Take;Virada;Virada;Virada;;Take;Take;Take;Take;Take
06/05/2026;Take;Take;Stop;Take;Virada;Take;Virada;Take;Take;Virada;Take;Stop;Take;Stop;Take;Take;Stop;Virada;;Take;Stop;Stop;Take;Take;Take;Take;Take;Take;Take;Take;Stop;Virada;Take;Stop;Take;Stop;Stop;Take;Take;Take;Take;Stop;;Take;Virada;Take;Stop;Take
07/05/2026;Take;Stop;Take;Take;Stop;Stop;Take;Take;Take;Stop;Virada;Virada;Take;Take;Stop;Stop;Take;Stop;;Take;Take;Stop;Stop;Stop;Virada;Take;Take;Take;Take;Take;Virada;Take;Virada;Stop;Take;Take;Take;Stop;Stop;Stop;Stop;Stop;;Stop;Take;Virada;Virada;Stop
08/05/2026;Take;Take;Take;Stop;Take;Take;Stop;Take;Take;Virada;Stop;Take;Stop;Take;Take;Take;Take;Take;;;;;;;Stop;Stop;Stop;Virada;Stop;Stop;Virada;Stop;Stop;Stop;Stop;Stop;Take;Virada;Virada;Take;Take;Take;;;;;;
10/05/2026;;;;;;;;;;;;;;;;;;;;Virada;Virada;Stop;Virada;Take;;;;;;;;;;;;;;;;;;;;Virada;Stop;Virada;Virada;Virada
11/05/2026;Take;Take;Virada;Take;Take;Virada;Take;Take;Take;Virada;Take;Virada;Virada;Take;Take;Stop;Take;Take;;Take;Virada;Take;Take;Take;Virada;Take;Take;Take;Virada;Virada;Virada;Take;Take;Take;Virada;Virada;Virada;Virada;Take;Take;Take;Take;;Take;Virada;Take;Take;Take
12/05/2026;Take;Take;Take;Take;Stop;Stop;Stop;Stop;Take;Stop;Take;Virada;Take;Take;Take;Take;Take;Virada;;Stop;Stop;Take;Take;Stop;Take;Take;Take;Take;Take;Stop;Stop;Stop;Stop;Take;Stop;Stop;Virada;Take;Take;Take;Take;Virada;;Take;Take;Take;Take;Stop
