Linhas de Ouro - Normal - Exness - 01/05/2026 a 14/09/2026 - Virada mira nivel 4.8 - COM VIRADA - COLUNAS EM BRT
DATA;XAU H1M1 12H;XAU H1M1 22H;XAU H1M1 20H;XAU H1M1 21H;XAU H1M1 03H;XAU H1M5 21H;XAU H1M5 22H;XAU H1M5 14H;XAU H1M5 23H;XAU H1M5 15H;USTEC H1M1 10H;USTEC H1M1 00H;USTEC H1M1 20H;USTEC H1M1 11H;USTEC H1M1 22H;USTEC H1M5 02H;USTEC H1M5 17H;USTEC H1M5 23H;USTEC H1M5 00H;USTEC H1M5 01H
01/05/2026;Virada;;;;Take;;;Take;;Take;Take;Virada;;Stop;;Take;Take;;Virada;Take
03/05/2026;;Take;Take;Stop;;Stop;Take;;Take;;;;Take;;Stop;;;Stop;;
04/05/2026;Take;Take;Take;Take;Take;Take;Take;Take;Stop;Take;Virada;Virada;Stop;Stop;Take;Take;Take;Stop;Virada;Virada
05/05/2026;Take;Take;Take;Take;Stop;Take;Take;Take;Take;Virada;Take;Take;Virada;Take;Stop;Stop;Take;Take;Take;Take
06/05/2026;Take;Take;Stop;Stop;Take;Take;Stop;Take;Take;Take;Take;Take;Stop;Take;Take;Stop;Stop;Take;Take;Stop
07/05/2026;Take;Stop;Take;Stop;Take;Virada;Virada;Stop;Stop;Stop;Stop;Take;Take;Take;Virada;Take;Take;Virada;Take;Take
08/05/2026;Stop;;;;Stop;;;Virada;;Take;Virada;Take;;Take;;Take;Stop;;Take;Take
10/05/2026;;Virada;Stop;Stop;;Virada;Virada;;Virada;;;;Take;;Stop;;;Stop;;
11/05/2026;Virada;Take;Virada;Take;Take;Take;Take;Take;Take;Take;Take;Stop;Take;Stop;Take;Take;Take;Take;Stop;Stop
12/05/2026;Take;Take;Stop;Take;Take;Take;Take;Take;Stop;Take;Take;Take;Take;Take;Take;Take;Take;Take;Take;Take
13/05/2026;Take;Stop;Take;Stop;Stop;Stop;Take;Take;Virada;Stop;Take;Take;Take;Take;Stop;Take;Take;Take;Take;Take
14/05/2026;Stop;Take;Stop;Take;Take;Take;Take;Take;Take;Take;Virada;Stop;Virada;Virada;Take;Stop;Take;Virada;Stop;Stop
15/05/2026;Stop;;;;Take;;;Take;;Take;Stop;Take;;Take;;Stop;Stop;;Take;Take
17/05/2026;;Stop;Take;Take;;Virada;Stop;;Take;;;;Take;;Stop;;;Take;;
18/05/2026;Stop;Take;Virada;Take;Take;Take;Take;Stop;Take;Virada;Take;Stop;Stop;Take;Take;Take;Virada;Stop;Stop;Virada
19/05/2026;Stop;Stop;Stop;Virada;Stop;Virada;Stop;Take;Stop;Take;Take;Stop;Take;Virada;Stop;Take;Virada;Take;Virada;Stop
20/05/2026;Virada;Virada;Virada;Virada;Virada;Virada;Stop;Take;Take;Take;Stop;Take;Stop;Take;Take;Take;Take;Stop;Take;Take
21/05/2026;Stop;Stop;Take;Take;Stop;Take;Stop;Stop;Stop;Take;Stop;Take;Stop;Virada;Stop;Take;Take;Take;Stop;Virada
22/05/2026;Take;;;;Virada;;;Stop;;Take;Take;Virada;;Stop;;Take;Virada;;Stop;Stop
24/05/2026;;Stop;Take;Stop;;Stop;Take;;Virada;;;;Take;;Stop;;;Stop;;
25/05/2026;Take;Take;Virada;Take;Take;Take;Take;Stop;Stop;Virada;Take;Stop;Stop;Take;Stop;Take;;Virada;Stop;Stop
26/05/2026;Take;Take;Virada;Take;Stop;Take;Take;Take;Take;Take;Take;Stop;Take;Virada;Stop;Stop;Take;Virada;Virada;Virada
27/05/2026;Take;Take;Take;Take;Take;Take;Virada;Virada;Virada;Stop;Take;Take;Stop;Stop;Take;Take;Take;Take;Take;Take
28/05/2026;Take;Take;Stop;Take;Stop;Take;Stop;Take;Stop;Stop;Take;Take;Take;Take;Take;Take;Stop;Take;Take;Take
29/05/2026;Virada;;;;Stop;;;Take;;Take;Take;Take;;Take;;Stop;Stop;;Take;Take
31/05/2026;;Take;Virada;Take;;Take;Take;;Take;;;;Take;;Virada;;;Stop;;
01/06/2026;Take;Take;Stop;Virada;Take;Stop;Stop;Stop;Take;Stop;Take;Stop;Stop;Take;Stop;Take;Take;Take;Stop;Virada
02/06/2026;Take;Take;Take;Take;Take;Take;Stop;Stop;Take;Stop;Stop;Virada;Take;Take;Stop;Take;Stop;Take;Take;Take
03/06/2026;Take;Take;Take;Virada;Stop;Take;Stop;Virada;Take;Stop;Take;Take;Stop;Stop;Stop;Stop;Take;Stop;Take;Stop
